Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",4,4.67,Tor Books,Hardcover,1007,2010,2010,2022/06/03,2021/02/03,"fantasy-classics, high-fantasy","fantasy-classics (#6), high-fantasy (#47)",read,"What Sanderson does best, I think, is worldbuilding. There are many different kingdoms and species and a whole world of stone and intense storms with a rich ecosystem that's different than our own in several important ways. He actually reveals this massive and complex world in such a gradual way that for a while I was a little bit miffed because it was giving me a sensation of feeling that it was all disjointed, random, that none of this fit into a cohesive system, but towards the end of the book connections started to be made. Now I think I see what he's doing, and I'm really looking forward to reading more of his books and making more connections.<br/><br/>For instance, he has a whole system of ""spren""...there are these little bright lights, kind of like will-o-wisps or something like that, but there are many different kinds that show up for many different events...windspren, firespren, painspren, gloryspren, anticipationspren...yes some of these are kind of silly and unwieldy. And for the most part these spren are for show only; they can't interact with the material world in any meaningful ways at first glance...but there are two major exceptions to this. <br/><br/>First there's one windspren in particular who forms a relationship with Kaladin and who forms an actual personality and memories, something unique is happening here. Second, towards the end of the book you start to find out what scientists have discovered while studying spren and there are hints that understanding them actually is linked to technological innovations. So, this becomes a very interesting rich area in Roshar, the world of these books.<br/><br/>Ok, the book as a whole. Strengths, worldbuilding, and pacing. There's always something to look forward to. So even though the book is massive, there are mostly lots of really short chapters that nicely segue into the next one, plenty of surprises, plenty of satisfying things.<br/><br/>Prose is fine, rarely elegant or quite beautiful, but not bad or annoying. Description is sparser than my taste, but I imagine is preferable for most readers. Characters are moderately deep, but this isn't Flannery O'Connor or anything. On the spectrum of character-heavy to plot-heavy, I would put this in the middle, a little more on the plot end, but honestly, it's more like he decided that he wanted to do heavy plot and character and worldbuilding and just let the book be massive. He then compensates for the insane length by being a master of pacing, where every chapter works pretty well and makes you want to keep reading. It's kind of addicting reading stuff. Which is good and bad. It's very fun, but what it doesn't give me is the deep, contemplative, comforting sense that I get when I read Tolkien. His style is absolutely nothing like that. And he doesn't have a voice that I fall in love with, so those things are probably why this doesn't hit my heart in the same way that certain other fantasy works do. So while this is amazing stuff in many ways, but doesn't reach five stars heights for me personally.<br/><br/>Besides that, main complaints: too long, and Dalinar is annoying. With that being said, even those complaints are mitigated. There's a big pay-off at the end for all the long slogging out through the sufferings of Bridge 4. And honestly, the sloggings of Bridge 4 were kind of fun to read...it's the sloggins of Dalinar continuing to not change for 900 pages that's not so fun. But, Dalinar has a major important change towards the end that helps redeem his character for me. Took him a long time to grow but he did eventually do it in a satisfying way.<br/><br/>Kaladin is easily the most likable character. I think it's unique to have a warrior leader type who is also a skilled medic. His back story is pretty gnarly too. I love the way his story is told. Nonlinear, doing flashbacks artfully as needed to gradually reveal his backstory, but starting you off close to the action of his main plot as possible with this line: ""It appeared that he'd been wrong. There *had* been something more they could do to him. One final torment the world had reserved just for Kaladin. And it was called Bridge Four."" Right from this line you know it's going to be good, and it is: the story of Bridge 4 is easily the best story in this whole thing. It starts with a group of men completely devoid of hope, completely in despair; their lives are over. They are defined by isolation, hopelessness, lack of humanity. That's where you start, and by the end...extremely satisfying.<br/><br/>Kaladin's character is relatable, likeable, not an idiot like most protagonists but actually quite smart. Overall a great, great character, and many of the side characters in Bridge 4 are entertaining as well.<br/><br/>The main POVs, in order of screentime, are Kaladin (awesome), Dalinar (annoying), and Shallan (interesting). She's a character who is simultaneously ditzy/naive on people skills, and yet also very smart and skilled in the scholarly world, blossoming into the world of intellectual learning. A lot of her feelings remind me of the feelings I had when going to college, only she has one brilliant but enslaving person as her teacher rather than a host of different teachers. She is plunged into a world of reading and study and reporting that's all consuming, but she finds that she actually kind of loves it. She's also a skilled artist which is used in a rather unique way as the story progresses and she discovers she has a hidden power which is quite frightening in some of its forms.<br/><br/>The twist to Shallan's story (which is revealed very early in the story so this really isn't a spoiler so much as a premise) is that she's actually studying from this person (Jasnah) in order to steal something of great magical value from her so that Shallan can save her family from ruin. While this plot is unfolding, Jasnah is teaching her about morality and ethics and philosophy that directly impacts Shallan's decisions.<br/><br/>Shallan's story also provides a place for us, the readers, to get to understand a little more of how magic works in this world, which is nice, since the other POV characters are basically clueless about both of those, as well as a great deal of other things.<br/><br/>They start to delve into the history of this world, which is only very gradually revealed even by the end of the book, but it's shown that the next book is likely going to delve into that a lot more. When I say history though, I mean exciting stuff, like where these extremely powerful shardblades and shardplate comes from, who the Radiants were, why the abandoned mankind, the origin of the voidbringers, their relevance to today's wars, etc. I think the next book is going to be pretty exciting stuff both from a worldbuilding-revealing perspective as well as an action perspective, although what exactly the sides of the coming conflict will be is yet to be seen.",,,1,1
33,The Lord of the Rings,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0618640150""","=""9780618640157""",5,4.54,Houghton Mifflin Harcourt,Paperback,1216,2005,1954,,2019/04/23,"favorites, featured, fantasy-classics, high-fantasy","favorites (#5), featured (#4), fantasy-classics (#5), high-fantasy (#46)",read,"It was a joy to read this again after many years. I don't want to go this long between readings next time.  From the moment I started reading the prologue, this was so good. It's so refreshing after the years of reading many other things, many of which are mediocre, some downright bad, to come back to something I know is amazing. Right from the moment that I started reading Tolkien's forward on details about hobbits, their three races, etc, I knew I was home.<br/><br/>One of the best things about Tolkien is his voice. It's grandfatherly, very positive, very reassuring. Another thing, of course, is his worldbuilding. The languages you're exposed to, the poems (which are actually good, unlike most fantasy authors who have tried to pull this off), the appendices...in no other text have I enjoyed reading appendices so much. And the historical footnotes, wow. Those really give it a level of verisimilitude that is really endearing.<br/><br/>It was interesting to note, now that I've seen the movies a billion times, all of the differences between the movies and the books. I actually thought there were some ways in which the movies were a little better--blasphemy, I know. But in some places they just did better at increasing the sense of tension before release. Of course, the main area in which they are lacking is the full world, that feeling, as well as the almost relaxed at one-ness with nature that you can only get when reading a book; movies have to have a certain pace. It's hard to put into words what I mean there, but...you just have to read it to understand.<br/><br/>There's also the whole scouring and restoration of the shire at the end, which is highly satisfying--pity the movies didn't have time to do that. And Tom Bombadil. And Denethor has more nuance and wisdom in the books. And the death of Théoden is more properly grieved and dramatized. And there's the romance between Faramir and Éowyn which is really a fascinating dynamic. Her character is much better explored in the books. And I feel that Boromir gets a better treatment in the books as well. And you get Shelob's little epic backstory. And you get a better glimpse into the orcs' worlds, which I highly enjoyed.<br/><br/>If you haven't read this, read it. There is so much there that you haven't gotten through the movies. It's an experience. And you really especially don't want to miss getting to know Tolkien's voice. I feel like I know him and love him even though I've never met the man. I wish I could have.<br/><br/>The Lord of the Rings is perfect for those who love epic setting-driven tales with beautiful prose, lovers of transcendent myth-like stories, and anyone who reads fantasy and wants to discover the roots of the genre.",,,2,1
61215372,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.50,William Morrow,Kindle Edition,448,2022,1954,,2025/07/15,"fantasy-classics, high-fantasy","fantasy-classics (#4), high-fantasy (#45)",read,,,,0,0
61215384,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.58,William Morrow,Kindle Edition,432,2022,1955,,2025/07/15,"fantasy-classics, high-fantasy","fantasy-classics (#3), high-fantasy (#44)",read,,,,0,0
61215351,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",0,4.40,William Morrow,Kindle Edition,432,2022,1954,,2025/07/15,"high-fantasy, fantasy-classics","high-fantasy (#43), fantasy-classics (#2)",read,,,,0,0
211004089,Wild Dark Shore,Charlotte McConaghy,"McConaghy, Charlotte",,"=""1250827957""","=""9781250827951""",0,4.20,Flatiron Books,Hardcover,298,2025,2025,,2025/07/10,to-look-into,to-look-into (#181),to-look-into,,,,0,0
52459864,"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao,"Zhao, Xiran Jay",,"=""0735269939""","=""9780735269934""",0,4.04,Penguin Teen,Hardcover,394,2021,2021,,2025/07/10,"to-read, broken-universe-comps, space-opera, space-opera-comps-popular","to-read (#854), broken-universe-comps (#2), space-opera (#32), space-opera-comps-popular (#18)",to-read,,,,0,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.29,Orbit,Paperback,468,2015,2015,,2020/07/27,"dystopia, modern-fantasy, fantasy-sf, 2025-reading-list, present-tense, currently-reading, modern-sf, space-opera, space-opera-comps-popular, broken-universe-comps","dystopia (#5), modern-fantasy (#9), fantasy-sf (#1), 2025-reading-list (#40), present-tense (#4), currently-reading (#9), modern-sf (#17), space-opera (#31), space-opera-comps-popular (#17), broken-universe-comps (#1)",currently-reading,,,,1,0
58520263,Stars and Bones (Continuance #1),Gareth L.   Powell,"Powell, Gareth L.",,"=""1789094283""","=""9781789094282""",0,3.67,Titan Books,Paperback,347,2022,2022,,2025/07/10,to-read,to-read (#853),to-read,,,,0,0
321545,"A Morbid Taste for Bones (Chronicles of Brother Cadfael, #1)",Ellis Peters,"Peters, Ellis",,"=""0446400157""","=""9780446400152""",0,3.96,Grand Central Publishing,Mass Market Paperback,197,1994,1977,,2025/07/08,to-read,to-read (#852),to-read,,,,0,0
599712,The World at the End of Time,Frederik Pohl,"Pohl, Frederik",,"=""0586212752""","=""9780586212752""",0,4.00,Grafton Books,Paperback,400,1992,1990,,2025/07/07,"to-look-into, epic-sf","to-look-into (#180), epic-sf (#21)",to-look-into,,,,0,0
970602,The Night Land,William Hope Hodgson,"Hodgson, William Hope",,"=""1587156040""","=""9781587156045""",0,3.48,Borgo Press,Paperback,357,2001,1912,,2025/07/07,"to-look-into, epic-sf","to-look-into (#179), epic-sf (#20)",to-look-into,,,,0,0
250024,The City and the Stars,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",0,4.08,Gollancz,Paperback,255,2001,1956,,2025/07/07,"to-look-into, epic-sf","to-look-into (#178), epic-sf (#19)",to-look-into,,,,0,0
1126719,House of Suns,Alastair Reynolds,"Reynolds, Alastair",,"=""0575099127""","=""9780575099128""",0,4.24,Gollancz,Paperback,512,2010,2008,,2025/07/07,"to-look-into, epic-sf","to-look-into (#177), epic-sf (#18)",to-look-into,,,,0,0
156784,Permutation City,Greg Egan,"Egan, Greg",,"=""006105481X""","=""9780061054815""",0,4.06,HarperPrism,Mass Market Paperback,352,1995,1994,,2025/07/07,"to-look-into, epic-sf","to-look-into (#176), epic-sf (#17)",to-look-into,,,,0,0
116121,"Eternity (The Way, #2)",Greg Bear,"Bear, Greg",,"=""0446601888""","=""9780446601887""",0,3.90,Aspect,Mass Market Paperback,367,1994,1988,,2025/07/07,"to-look-into, epic-sf","to-look-into (#175), epic-sf (#16)",to-look-into,,,,0,0
968868,The Book of the New Sun,Gene Wolfe,"Wolfe, Gene",,"=""1568658079""","=""9781568658070""",0,4.23,SFBC,Hardcover,950,1998,1983,,2025/07/07,"to-look-into, epic-sf","to-look-into (#174), epic-sf (#15)",to-look-into,,,,0,0
53857337,The History of Middle-Earth Boxed Set,J.R.R. Tolkien,"Tolkien, J.R.R.",Christopher Tolkien,"=""0358381746""","=""9780358381747""",0,4.62,William Morrow,Hardcover,5440,2020,,,2025/07/07,to-look-into,to-look-into (#173),to-look-into,,,,0,0
207300960,Creation Lake,Rachel Kushner,"Kushner, Rachel",,"=""1982116528""","=""9781982116521""",0,3.38,Scribner,Hardcover,416,2024,2024,,2025/07/07,to-look-into,to-look-into (#172),to-look-into,,,,0,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",0,4.04,Simon Element / Simon Acumen,Hardcover,272,2022,2022,,2025/07/07,to-look-into,to-look-into (#171),to-look-into,,,,0,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",0,4.44,Crown,Hardcover,426,2018,2018,,2025/07/07,to-look-into,to-look-into (#170),to-look-into,,,,0,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",4,4.17,Bantam,Hardcover,244,2004,1951,2025/06/08,2024/01/15,sf-classics,sf-classics (#40),read,"Asimov's Foundation presents an audacious premise: what if sociology could become so precise that it functions like physics, allowing someone to predict the rise and fall of civilizations thousands of years in advance? It's patently absurd, and yet somehow completely intoxicating.<br/><br/>Hari Seldon, the founder of ""psychohistory,"" foresees the collapse of the galaxy-spanning Empire and the inevitable 30,000-year Dark Age that will follow. But the hook is, he has a plan that can shorten this catastrophe to just 1,000 years by establishing a Foundation of scholars on the galaxy's edge, provided they follow a precise path. <br/><br/>But, for some reason, it's totally fundamental to Seldon's science that they can't know in advance how to solve the problems...he knows what the problems will be and how they will have to solve them, but instead of him just telling them, they have to figure it out for themselves. It's obviously a narrative constraint so that the characters must solve each crisis as it arrives, blind to the larger pattern only Seldon could see. But...it works. It makes for a much better story than the alternative, that's for sure.<br/><br/>The real protagonist isn't any individual character (Seldon himself dies early on) but humanity itself, struggling across millennia. We jump forward in time to witness key moments when Foundation leaders realize they're facing another ""Seldon Crisis"" and must find solutions that fly in the face of conventional wisdom.<br/><br/>The stories pivot mostly around two Seldon Crises, each of which has an uber smart dude who figures it all out and then has to get the Foundation society to completely reimagine their approach based on how human psychology and social structures have evolved. It's essentially A Series of Really Smart Individuals Saves the Human Race, which ironically undermines psychohistory's core premise that individual actions can't be predicted, only mass behavior.<br/><br/>The execution has its issues. Written in 1951, it carries all the baggage you'd expect—the galaxy's saviors are uniformly male, the dialogue is stiff and theatrical, and Asimov's characters all sound the same. Character development was never his strength; he's all about the big ideas and intricate plotting.<br/><br/>There's a comment I just have to make, after reflecting on how many books have this trope...it is kind of a wet dream to think that if one individual was smart enough, they could save the human race. We all want to think we're that person. Am I going to stop reading books like that? Eh, probably not. Probably not completely, at least. But, I do feel like it's one of those things that now I've seen, I can't un-see.<br/><br/>But honestly, I'm poking too many holes in this to convey how I actually felt about the book. As a whole it was quite good. I found myself genuinely hooked. The ending in particular made me sit back and think about the actual progression of human history, trying to identify the dominant sociological forces of different eras. I feel like I can tell what Azimov was thinking: if you look at history, the pattern kind of makes sense. First we needed religion in order to survive, then trade became the next big way of interacting with each other, etc. I'm obsessed now with trying to predict what the next crisis might be and what radical solution it would require.<br/><br/>And ultimiately that's what I am searching for most in science fiction: when it takes a wild premise and uses it to make you think differently about Big Stuff, like the patterns of human civilization, for instance.<br/><br/>Foundation is the kind of book that you gulp down easily because of its sheer conceptual audacity. It's far from perfect, but the chapters are short and punchy, the scope is genuinely epic, and at just 300 pages, it moves quickly enough that you don't have time to get bogged down in its flaws. I'm already planning to read the rest of the series, almost despite myself.",,,1,0
228337,"Jaran (Jaran, #1)",Kate Elliott,"Elliott, Kate",,"=""0756400953""","=""9780756400958""",0,3.95,DAW,Mass Market Paperback,496,2002,1992,,2023/12/02,"to-read, space-opera, space-opera-comps-debut, 2025-backup-list","to-read (#851), space-opera (#30), space-opera-comps-debut (#7), 2025-backup-list (#33)",to-read,,,,0,0
9438,The Basic Works of Aristotle,Aristotle,"Aristotle, Aristotle","Richard Peter McKeon, C.D.C. Reeve","=""0375757996""","=""9780375757990""",0,4.24,Modern Library/Random House (NY),Paperback,1487,2009,-322,,2021/04/15,"history-of-lit, philosophy, ancient-greek, 2025-reading-list, currently-reading","history-of-lit (#26), philosophy (#11), ancient-greek (#6), 2025-reading-list (#4), currently-reading (#8)",currently-reading,,,,1,0
